"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2022-04-17","10:22:29","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004263180074|20220413073553|10.79||EMeGpy7POpVcPGlxKV9lUnyCewWuInvPpqQzm6B847EIDiyJ0gzw1lOp5hU08kofEDHERmc7R13zpmLuRJmSbYP9n3RlexZhXAcyGOXk3wgwD5dG5bvtlEQ6vL7lxNdraUyUTjNPFuVPPNctaNzVHxF8LIcX/ZHNmkZRAGsLrfdWKg3C0ziKKW09ludh98cGTTKjytIUqK3QQD8iFFUO3B0u0nD66uxp1pOvoogz/vrHl5pRO2M3zJARhOo+hieYoKLSNNGb0elIp/dsEAOqQp6OYfYNoodIwXNFrBntAHUf/id9mcrDMX4XPct3Fd/hqQ6gHBoF8+tofjK5VgrKEA==","","0","2022-04-17","13:22:29","{""ec"":""L""}"
"2022-04-17","10:22:34","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004275987474|20220413073640|10.06||KvU1faDCZRV92Ah++nn33Da+Zc1XitHudgpUPnMdlpWV7meeH5yijTrU2PoxGV7folkyYItCehunMLkskD8xL07Kw5duBfNls2ZSJjUguil6ChEa8byuSqMJKgK10wNuvlJy7s+Ilfs/ojqqKGk34iJ1NlK8rWzeO82d1g/3G1FTvDfClCAkHonwDUHxMqLF2lQi6YrLNSldxJdINjoZPtjdmio6+dvSMUIgNsYuB6Azaud/FiXGWTbLr5y54FEbNtf4hDe8pKScCpojEGKUzdibZwqYQfUMbkJcAp0yBU/fNz4DMZa/13iRgg9CN1/gQB6yC+7MJOSNQNt8sdm8KQ==","","0","2022-04-17","13:22:34","{""ec"":""L""}"
"2022-04-17","10:22:40","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004280561226|20220413073723|5.98||85eADkQUsdBeNvWY1QWIyGdHK2ekorMTG/KNmxLTSz7ezF0PNEw1yib+FMpegcqCNwvWzgv6H1gsKkI7K9JDEs7qvj5BTPG8AdPiGOQoyulbb25/Ic8JUPmGGZ8jQe4mlwajRAbOECkGXwjhSRnelQBc4dnyF3VnN16ziWGPvcL/Z1uVOHF7J7jgpIt+FlZHInZBoETivZXoeb1wgjsl4cQWtOdP5G/Vzc/Oj60KitCZK/0hNbnadSFZTBP2S2ADgybigRkkbCS/2VsRucRpAqxfGuUk+23YQpFHLyfM5TDrYymPxsSN8tA4xp97EzHlPFptFfEcBJNMoQeX0bBpug==","","0","2022-04-17","13:22:40","{""ec"":""L""}"
"2022-04-17","10:22:45","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004290555393|20220413073913|0.91||R2Xe8ojX6NvWnIgSatyMbYjDBdafnxBhimRmecyq5ARWB4Lhu4B6uZZzGQnsWSy5UhZSAXzqY9/WmasqH8QRXbAdP1ZIWBA8TZ4RRa7T2Xzh0say+Fo9oyj2R1Kvt+lzSUajFOIZ4iwfOFtfO7LTW5CkrG54lY+OV96Kpz4K3gSSq3Nb+pxNC6ZRR/cyuFXG7wBVXBLQecMsM+XAtu0wYt0qIvL+s9yNPvEtRxQyVwrybgJt4fs0jCe1ujRVP89nGiqFMsk9AxjnPWVptkF3tqZe+Ch8pS2vGHa2eG61JoWtZbse6i/xNmh7RhwNYnxGj7RPnK0hwGrzYv0Hl4l0jQ==","","0","2022-04-17","13:22:45","{""ec"":""L""}"
"2022-04-17","10:22:52","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004314711578|20220413074228|18.11||JLCp9TRGM6dParca2cBHeM27ym/OJElo8ypXscKuQnPJrMG6E4UN2kAzS5egKfrtan2T3VQEi73FY7/HrDPzlUFjah6bd++ySnwARIZZpsqC6eOaFaCUrqvFqbUOPvkWwcqUHi6VEGc9GBjf2LQW1p7IjrFNhGp2jU0GLmfaaFNEcHBEAzyZg4X5XiCfiJ+4P7/2tHsE6tdGMYBV+GcPiHVWJe3r1wRK9YCuk9QuPNqq2zaTLhwuBoNkK86JQW9XnoUw5EKNB7rEKzRnoPNx4ZaMiH+jSdR2w2JUbzQ/3EVRzkRgLVFRS0g3UMvacegBMwRfAmUgQhUCqmnuxlpf2w==","","0","2022-04-17","13:22:52","{""ec"":""L""}"
"2022-04-17","10:22:56","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004368073316|20220413074745|2.66||MN9OFaAQAnQfbEGU3VQtVrYjBLK3+KTlNtQlfVuPNG999/w7+KSq+ueZS14bs7nqdUgoh80gdLJLY7/pRZnzHnHaznlJXgZ5XO8aFj7VS8/jrPg8n4iDwmZwz3KpZlRLIccpg0iCskIfWZTm2l/yZSacdIFCNiggTVvAPPonbNMJl/Ds/dzgoEvb2mkSlyNMr7RejozN8/j68+H0NM6vO4o8D44BRZK5gbR92Tgz4JaithdnIRQwd/Ceht9ccCtMbIjBPuULne/ubMJ/YVpdOKhNaVJBn8yk5n6AeC4KPXIYOy6ghkHU2IY6D1PBB8ukOq0pk9xy0R+nNctBp1CKaw==","","0","2022-04-17","13:22:56",""
"2022-04-17","10:23:01","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004344684862|20220413074517|37.80||RWidKR9KAEIqks0Qll1VLUBJt2mLgGdn2iWZBDVv0izNxWfzjx3zcVV22jeFRG+TnEi9SOnBVSfg1VDPWkWuvC0rTLpLy3h3NUFXucTxmN/zDKr3Us+P06OJXa9LNolMXjR8VzbkpcM0Rz6NzHfQUOvYnfOE0yR0Dz/X9EhscmcDLJ5YiKwlUMZ80w1J8mz0UGVdAHenRxpH/o+gKVBNraBasj597keqcbvZBy/pPlfTlCVXVieanxjQdBduYuunD5jf3YNZKXx/epEcPV7In92/1ctafnvHXO3X4DBaanOOfEdiDOyKM3w7PKG9zn3jl+1jF/zPZbqJIF3Mjb+KvQ==","","0","2022-04-17","13:23:01","{""ec"":""L""}"
"2022-04-17","10:23:07","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004334425872|20220413074450|6.53||oBGfPvS8mJJ72nqWk6EhkDkSxSzw/BB1v9a4/mlP94fyB0fzNSnSYE9M1u2WFIvLlE5mZfvhU/r7n1LNVmbLBX0zFU01c9v0zW40pzke+WRzghYL6nGxPaVVaZ08i+66fe/vaQfe/FndpYNvED9si6zzjkTFkaOnZX9a16l5qx/BM+jiTI0dAhnyEKuhqrx/hvqWZlL1luVZ/JNEp0v6OEZfoaEzO2yu5rNrvcZaoMa7n9XewT3ZLmyS2WaOnzPjwTTOHPC+WP2gQf43nnKq2SbuZgoQrDbAtXzgwPatWXsSqqcq6m8xJeP1/BLSw+YD8EOAkMxMTAverEZlVR9BUg==","","0","2022-04-17","13:23:07",""
"2022-04-17","10:23:12","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004394308180|20220413074953|17.05||L4kOAtnf3lpyna/fC2x+4Mgs6O7sgguTCgb/C7QTbWIYdW0zN6qUxryarMkK7y44f+9vbWlLTyc+YqC8oxW2xyt4FFbhKtI/bSJsc2rDfRvR3JtPc22N695E9M0q/xTawp1mWLUKhTfVnsk1ArSypT87eDUk7yxUZfMPd0Z3tnPZYw1kJ3IgFOGtJ1F/4TCnMyneK/hm3vYobfA394Kzhu1XcMqJ8laBfcVU4kfHIsQgJuIpvr3p41FEcx2wDokNCCo3Uo2/t4/psP1A0ZaFJljnaUEdKKvT8sZTGOTkA0rGbPaWKcJkf3H6xdiqKMPdyQlKSUSnuhPWllj+nu1e6w==","","0","2022-04-17","13:23:12","{""ec"":""L""}"
"2022-04-17","10:23:16","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820004400017862|20220413075026|2.99||K0rL55KOJjwErirbWp1oFSlbMO2g03WVHtr+Kw364U3dQnQJk+wpgCCHs+63lm6nhbGk3/lhAbA6vgXX60YfjVsSi+gIKjUWn7Q3OZLhtL+YXzUuBs52R5kIClQpei1PYf24hF9DI4ZJk2w5SNtz8zKqFDMlYYOQZwzP5hFspkKA68+JGJ1E3SvqFINkjay0QOm42EHqoeERwSHPpObIF86Sb0DzdGTZU9kaJY9S4+/5Mdt4+g2t4GQ+0FFkT5pFnP/0Zfe9yEQ0VwDVVm8ssCrCT9y9vo8vXHFrBteB+hvroQKEVWKilJYGhmuQRNVbn4Fngn7koLzaKI8nJkXdqg==","","0","2022-04-17","13:23:16","{""ec"":""L""}"
